"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"43",2021,"Crotone","Serie A","team",31,46.3,38,21226,2904,8260,9199,3983,577,21217,623,385,61.8,237,38,11536,61128,30798,582,386,119,610,366,13427,1206,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"44",2021,"Crotone","Serie A","opponent",31,53.6,38,24021,2011,6398,11417,6479,964,24016,556,331,59.5,224,40.3,13347,71930,36675,769,559,229,578,315,16186,1665,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"45",2021,"Crystal Palace","Premier League","team",24,40.6,38,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10226,56545,26885,526,388,151,596,402,11524,1113,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"46",2021,"Crystal Palace","Premier League","opponent",24,59.9,38,27169,1926,7042,13508,6808,890,27165,620,337,54.4,283,45.6,16162,83958,43503,666,508,140,606,353,18907,1798,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"47",2021,"Cádiz","La Liga","team",34,34.8,38,15979,2120,5874,6716,3598,438,15975,513,321,62.6,192,37.4,7259,41549,20745,455,357,79,561,294,7859,838,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"48",2021,"Cádiz","La Liga","opponent",34,65.7,38,26777,1848,6813,13118,7046,835,26767,607,360,59.3,247,40.7,15858,87187,48593,820,700,146,569,326,18861,1876,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"49",2021,"Dijon","Ligue 1","team",33,46.2,38,21990,2520,8132,10171,3924,497,21985,673,385,57.2,288,42.8,12516,61771,30394,527,413,91,654,366,13866,1196,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"50",2021,"Dijon","Ligue 1","opponent",33,53.8,38,25040,1891,7251,12426,5611,893,25030,662,383,57.9,278,42,14623,73487,37926,720,510,195,671,323,16857,1673,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"51",2021,"Dortmund","Bundesliga","team",26,59.6,34,25939,2072,7088,12665,6400,1004,25932,630,400,63.5,229,36.3,15276,82294,42706,763,558,211,532,294,18713,1734,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"52",2021,"Dortmund","Bundesliga","opponent",26,40.2,34,18918,2464,6931,8308,3905,537,18912,487,268,55,219,45,10187,55829,29360,534,426,113,529,297,11562,1107,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"53",2021,"Eibar","La Liga","team",30,49.3,38,20829,1764,5553,9563,5924,671,20819,519,320,61.7,199,38.3,10428,53693,24386,507,373,102,657,320,11685,1282,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
