"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
"40",2021,"Celta Vigo","La Liga","opponent",30,38,468,288,183,204,81,189,465,40.6,276,344,76,268,489,957,522,6,"https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats"
"41",2021,"Chelsea","Premier League","team",27,38,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,"https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats"
"42",2021,"Chelsea","Premier League","opponent",27,38,584,313,278,221,85,298,657,45.4,359,464,153,311,430,1014,761,16,"https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats"
"43",2021,"Crotone","Serie A","team",31,38,540,311,288,196,56,225,556,40.5,331,406,137,269,380,920,748,12,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"44",2021,"Crotone","Serie A","opponent",31,38,602,361,240,267,95,237,622,38.1,385,375,83,292,423,1025,522,8,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"45",2021,"Crystal Palace","Premier League","team",24,38,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"46",2021,"Crystal Palace","Premier League","opponent",24,38,682,400,281,305,96,280,645,43.4,365,397,97,300,378,1060,597,11,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"47",2021,"Cádiz","La Liga","team",34,38,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"48",2021,"Cádiz","La Liga","opponent",34,38,486,300,217,199,70,192,513,37.4,321,244,41,203,302,788,660,10,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"49",2021,"Dijon","Ligue 1","team",33,38,601,367,329,225,47,278,661,42.1,383,351,112,239,471,1072,729,16,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"50",2021,"Dijon","Ligue 1","opponent",33,38,654,414,271,291,92,288,673,42.8,385,363,87,276,510,1164,573,9,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"51",2021,"Dortmund","Bundesliga","team",26,34,516,318,221,210,85,219,487,45,268,379,95,284,413,929,472,12,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"52",2021,"Dortmund","Bundesliga","opponent",26,34,523,304,273,195,55,229,629,36.4,400,412,120,292,483,1006,665,13,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"53",2021,"Eibar","La Liga","team",30,38,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
"54",2021,"Eibar","La Liga","opponent",30,38,519,319,285,196,38,199,519,38.3,320,359,98,261,406,925,933,7,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
"55",2021,"Eint Frankfurt","Bundesliga","team",25,34,594,352,273,245,76,263,596,44.1,333,371,77,294,428,1022,594,10,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"56",2021,"Eint Frankfurt","Bundesliga","opponent",25,34,549,309,279,217,53,237,514,46.1,277,351,93,258,470,1019,689,9,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"57",2021,"Elche","La Liga","team",30,38,551,335,324,189,38,210,578,36.3,368,357,97,260,386,937,689,11,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"58",2021,"Elche","La Liga","opponent",30,38,598,347,216,281,101,253,618,40.9,365,327,57,270,406,1004,586,8,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"59",2021,"Everton","Premier League","team",29,38,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"60",2021,"Everton","Premier League","opponent",29,38,573,314,238,242,93,229,591,38.7,362,398,99,299,357,930,655,9,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"61",2021,"Fiorentina","Serie A","team",30,38,496,263,228,198,70,229,544,42.1,315,362,127,235,388,884,619,8,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"62",2021,"Fiorentina","Serie A","opponent",30,38,672,369,334,262,76,250,575,43.5,325,351,86,265,380,1052,753,10,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"63",2021,"Freiburg","Bundesliga","team",24,34,431,247,188,186,57,168,448,37.5,280,365,118,247,452,883,631,8,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"64",2021,"Freiburg","Bundesliga","opponent",24,34,424,261,204,171,49,193,423,45.6,230,370,87,283,354,778,617,8,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"65",2021,"Fulham","Premier League","team",28,38,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"66",2021,"Fulham","Premier League","opponent",28,38,682,373,323,271,88,289,795,36.4,506,426,121,305,404,1086,729,16,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"67",2021,"Genoa","Serie A","team",34,38,555,309,293,197,65,255,640,39.8,385,437,123,314,519,1074,785,12,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"68",2021,"Genoa","Serie A","opponent",34,38,550,326,256,216,78,246,540,45.6,294,367,91,276,444,994,579,10,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"69",2021,"Getafe","La Liga","team",31,38,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"70",2021,"Getafe","La Liga","opponent",31,38,574,313,339,196,39,220,483,45.5,263,352,88,264,390,964,838,3,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"71",2021,"Gladbach","Bundesliga","team",23,34,503,307,221,221,61,215,531,40.5,316,424,116,308,436,939,616,6,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"72",2021,"Gladbach","Bundesliga","opponent",23,34,513,302,224,230,59,214,533,40.2,319,403,95,308,419,932,605,16,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"73",2021,"Granada","La Liga","team",34,38,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"74",2021,"Granada","La Liga","opponent",34,38,550,313,265,227,58,204,516,39.5,312,363,78,285,359,909,613,9,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"75",2021,"Hellas Verona","Serie A","team",32,38,465,269,224,183,58,173,413,41.9,240,374,144,230,492,957,756,12,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"76",2021,"Hellas Verona","Serie A","opponent",32,38,496,297,257,195,44,187,479,39,292,396,107,289,476,972,632,5,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"77",2021,"Hertha BSC","Bundesliga","team",32,34,485,270,242,201,42,205,493,41.6,288,377,89,288,417,902,687,8,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"78",2021,"Hertha BSC","Bundesliga","opponent",32,34,552,315,254,244,54,242,571,42.4,329,344,83,261,399,951,579,8,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"79",2021,"Hoffenheim","Bundesliga","team",30,34,508,296,229,204,75,229,539,42.5,310,370,90,280,431,939,619,8,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"80",2021,"Hoffenheim","Bundesliga","opponent",30,34,554,343,284,220,50,274,553,49.5,279,413,91,322,428,982,644,6,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"81",2021,"Huesca","La Liga","team",27,38,556,322,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"82",2021,"Huesca","La Liga","opponent",27,38,532,309,212,221,99,227,653,34.8,426,325,80,245,323,855,773,14,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"83",2021,"Inter","Serie A","team",25,38,506,286,214,206,86,213,527,40.4,314,383,102,281,371,877,582,8,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"84",2021,"Inter","Serie A","opponent",25,38,455,264,238,164,53,193,453,42.6,260,414,126,288,414,869,693,11,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"85",2021,"Juventus","Serie A","team",30,38,566,323,244,242,80,243,612,39.7,369,390,114,276,458,1024,581,14,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"86",2021,"Juventus","Serie A","opponent",30,38,533,303,248,202,83,233,684,34.1,451,427,153,274,402,935,699,7,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"87",2021,"Köln","Bundesliga","team",28,34,586,328,299,234,53,248,546,45.4,298,382,101,281,429,1015,670,8,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
