"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
"41",2021,"Chelsea","Premier League","team",27,38,25799,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362,"https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats"
"42",2021,"Chelsea","Premier League","opponent",27,38,16703,14805,1844,485,15,101,533,821,160,64,52,7,12794,54,381,"https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats"
"43",2021,"Crotone","Serie A","team",31,38,17229,15358,1814,600,9,99,544,619,138,72,22,0,13532,57,329,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"44",2021,"Crotone","Serie A","opponent",31,38,20121,18196,1822,550,31,171,754,708,228,85,106,0,16340,103,318,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"45",2021,"Crystal Palace","Premier League","team",24,38,15597,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"46",2021,"Crystal Palace","Premier League","opponent",24,38,23089,21282,1761,440,19,246,795,815,230,99,91,9,19019,46,374,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"47",2021,"Cádiz","La Liga","team",34,38,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"48",2021,"Cádiz","La Liga","opponent",34,38,23128,21256,1771,451,31,189,805,809,206,92,61,2,18990,101,349,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"49",2021,"Dijon","Ligue 1","team",33,38,17901,15908,1939,502,17,113,569,832,146,68,71,0,13948,54,314,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"50",2021,"Dijon","Ligue 1","opponent",33,38,20911,18974,1865,524,26,172,774,797,234,83,96,1,16968,72,284,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"51",2021,"Dortmund","Bundesliga","team",26,34,22396,20771,1556,396,41,150,532,674,173,65,73,0,18812,69,316,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"52",2021,"Dortmund","Bundesliga","opponent",26,34,15088,13550,1497,406,14,113,456,579,127,50,48,3,11643,41,310,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"53",2021,"Eibar","La Liga","team",30,38,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
"54",2021,"Eibar","La Liga","opponent",30,38,17650,15366,2156,534,38,175,545,1041,141,47,56,2,12572,128,333,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
"55",2021,"Eint Frankfurt","Bundesliga","team",25,34,18424,16631,1724,440,20,86,776,714,206,79,78,0,14241,69,321,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"56",2021,"Eint Frankfurt","Bundesliga","opponent",25,34,15827,13975,1773,506,23,149,599,713,160,75,64,0,11768,79,335,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"57",2021,"Elche","La Liga","team",30,38,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"58",2021,"Elche","La Liga","opponent",30,38,19233,17498,1671,535,28,149,693,692,164,43,64,1,15678,64,308,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"59",2021,"Everton","Premier League","team",29,38,18696,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"60",2021,"Everton","Premier League","opponent",29,38,21555,19747,1766,423,28,136,746,794,226,101,69,9,17667,42,364,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"61",2021,"Fiorentina","Serie A","team",30,38,17136,15159,1916,617,10,203,740,742,168,34,113,1,13430,61,332,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"62",2021,"Fiorentina","Serie A","opponent",30,38,19765,17944,1727,551,31,111,692,677,169,59,72,0,16140,94,268,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"63",2021,"Freiburg","Bundesliga","team",24,34,15960,14251,1653,426,15,155,636,721,123,54,50,0,12177,56,338,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"64",2021,"Freiburg","Bundesliga","opponent",24,34,17984,16318,1625,461,16,119,604,693,151,65,68,0,14286,41,291,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"65",2021,"Fulham","Premier League","team",28,38,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"66",2021,"Fulham","Premier League","opponent",28,38,20041,18089,1849,485,26,116,693,829,192,68,87,5,15762,103,326,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"67",2021,"Genoa","Serie A","team",34,38,17947,16091,1777,519,15,146,579,703,129,43,62,0,13950,79,331,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"68",2021,"Genoa","Serie A","opponent",34,38,22064,20225,1802,559,21,116,779,740,214,84,100,0,18020,37,363,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"69",2021,"Getafe","La Liga","team",31,38,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"70",2021,"Getafe","La Liga","opponent",31,38,18783,16642,2054,674,22,214,566,869,145,57,53,1,14007,87,356,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"71",2021,"Gladbach","Bundesliga","team",23,34,18955,17199,1674,473,29,107,561,676,177,66,94,0,15207,82,342,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"72",2021,"Gladbach","Bundesliga","opponent",23,34,17721,16050,1603,457,18,92,607,680,140,57,60,0,13907,68,342,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"73",2021,"Granada","La Liga","team",34,38,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"74",2021,"Granada","La Liga","opponent",34,38,19293,17232,2008,584,22,208,764,882,185,56,79,1,15039,53,342,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"75",2021,"Hellas Verona","Serie A","team",32,38,17419,15491,1823,551,10,102,732,711,185,64,107,0,12926,105,343,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"76",2021,"Hellas Verona","Serie A","opponent",32,38,17584,15609,1936,677,16,102,657,732,181,71,81,0,13153,39,281,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"77",2021,"Hertha BSC","Bundesliga","team",32,34,16169,14352,1740,460,16,155,585,751,152,59,61,1,12566,77,312,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"78",2021,"Hertha BSC","Bundesliga","opponent",32,34,16634,14896,1695,516,16,140,640,707,160,70,64,1,12941,43,350,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"79",2021,"Hoffenheim","Bundesliga","team",30,34,18046,16275,1722,509,15,151,658,745,156,52,60,1,14269,49,374,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"80",2021,"Hoffenheim","Bundesliga","opponent",30,34,17328,15536,1682,458,27,139,579,715,159,49,70,0,13485,110,321,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"81",2021,"Huesca","La Liga","team",27,38,17483,15452,1930,598,9,197,824,788,156,59,58,1,13511,101,321,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"82",2021,"Huesca","La Liga","opponent",27,38,19259,17253,1932,594,20,182,691,811,161,52,55,0,15344,74,309,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"83",2021,"Inter","Serie A","team",25,38,21624,19951,1608,450,29,152,702,651,206,64,85,0,18384,65,355,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"84",2021,"Inter","Serie A","opponent",25,38,19839,18237,1570,515,15,166,613,502,137,45,64,0,16623,32,329,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"85",2021,"Juventus","Serie A","team",30,38,23031,21302,1636,496,25,158,754,576,221,53,121,0,19839,93,326,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"86",2021,"Juventus","Serie A","opponent",30,38,17590,15813,1737,565,12,152,644,607,162,47,78,1,14407,40,318,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"87",2021,"Köln","Bundesliga","team",28,34,15870,14088,1725,490,10,105,655,756,135,60,53,1,11954,57,331,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
"88",2021,"Köln","Bundesliga","opponent",28,34,18677,16928,1696,448,20,117,616,784,159,70,67,0,14912,53,323,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
"89",2021,"Lazio","Serie A","team",30,38,20795,19069,1639,468,25,151,744,653,189,97,63,1,16972,87,346,"https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats"
"90",2021,"Lazio","Serie A","opponent",30,38,18534,16710,1781,559,6,172,628,666,170,68,79,0,14738,43,363,"https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats"
"91",2021,"Leeds United","Premier League","team",23,38,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364,"https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats"
"92",2021,"Leeds United","Premier League","opponent",23,38,15291,13322,1916,478,20,57,613,807,211,104,92,6,11293,53,312,"https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats"
"93",2021,"Leicester City","Premier League","team",27,38,21216,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376,"https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats"
"94",2021,"Leicester City","Premier League","opponent",27,38,17998,16109,1817,458,26,148,647,831,181,107,54,3,13803,72,352,"https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats"
"95",2021,"Lens","Ligue 1","team",27,38,18957,17084,1824,491,18,200,760,781,194,85,81,0,15078,49,332,"https://fbref.com/en/squads/fd4e0f7d/2020-2021/Lens-Stats"
"96",2021,"Lens","Ligue 1","opponent",27,38,18286,16194,2049,551,33,134,632,923,184,76,75,3,14243,43,339,"https://fbref.com/en/squads/fd4e0f7d/2020-2021/Lens-Stats"
"97",2021,"Levante","La Liga","team",29,38,18113,16219,1825,509,23,178,697,767,173,61,41,0,14189,69,369,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
"98",2021,"Levante","La Liga","opponent",29,38,16963,14983,1881,533,22,162,683,790,179,62,66,1,13052,99,297,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
"99",2021,"Leverkusen","Bundesliga","team",30,34,21683,19980,1631,409,17,152,674,733,184,65,75,0,17887,72,361,"https://fbref.com/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats"
"100",2021,"Leverkusen","Bundesliga","opponent",30,34,14689,13044,1576,481,19,91,500,623,121,57,49,0,10912,69,322,"https://fbref.com/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats"
"101",2021,"Lille","Ligue 1","team",21,38,21892,20037,1791,466,31,173,637,841,184,87,84,5,17886,64,316,"https://fbref.com/en/squads/cb188c0c/2020-2021/Lille-Stats"
"102",2021,"Lille","Ligue 1","opponent",21,38,18810,16993,1791,533,9,178,638,745,146,70,57,1,14859,26,303,"https://fbref.com/en/squads/cb188c0c/2020-2021/Lille-Stats"
"103",2021,"Liverpool","Premier League","team",28,38,26226,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357,"https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats"
"104",2021,"Liverpool","Premier League","opponent",28,38,15989,14280,1614,431,41,125,531,613,122,70,30,3,11890,95,313,"https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats"
"105",2021,"Lorient","Ligue 1","team",27,38,17085,15172,1867,480,21,110,606,800,176,62,89,1,13171,46,287,"https://fbref.com/en/squads/d2c87802/2020-2021/Lorient-Stats"
"106",2021,"Lorient","Ligue 1","opponent",27,38,21369,19386,1957,488,15,203,627,940,163,81,61,2,17386,26,352,"https://fbref.com/en/squads/d2c87802/2020-2021/Lorient-Stats"
"107",2021,"Lyon","Ligue 1","team",29,38,21396,19477,1856,479,36,135,710,814,232,54,88,2,17683,63,320,"https://fbref.com/en/squads/d53c0b06/2020-2021/Lyon-Stats"
"108",2021,"Lyon","Ligue 1","opponent",29,38,17698,15819,1835,523,16,152,638,671,166,74,61,3,13965,44,309,"https://fbref.com/en/squads/d53c0b06/2020-2021/Lyon-Stats"
"109",2021,"Mainz 05","Bundesliga","team",31,34,13776,11989,1730,425,22,80,605,808,130,58,59,0,9531,57,339,"https://fbref.com/en/squads/a224b06a/2020-2021/Mainz-05-Stats"
"110",2021,"Mainz 05","Bundesliga","opponent",31,34,20270,18410,1808,527,15,130,652,807,162,64,70,0,16142,52,347,"https://fbref.com/en/squads/a224b06a/2020-2021/Mainz-05-Stats"
"111",2021,"Manchester City","Premier League","team",24,38,27167,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320,"https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats"
"112",2021,"Manchester City","Premier League","opponent",24,38,15654,14096,1491,391,14,97,426,532,111,56,36,8,12270,67,251,"https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats"
"113",2021,"Manchester Utd","Premier League","team",29,38,22624,20810,1738,433,34,211,640,760,197,83,87,4,18800,76,401,"https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats"
"114",2021,"Manchester Utd","Premier League","opponent",29,38,18081,16354,1667,504,18,121,617,648,162,89,45,2,14217,60,345,"https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats"
"115",2021,"Marseille","Ligue 1","team",31,38,20532,18515,1965,572,17,182,647,840,174,95,66,2,16481,52,344,"https://fbref.com/en/squads/5725cc7b/2020-2021/Marseille-Stats"
"116",2021,"Marseille","Ligue 1","opponent",31,38,17666,15621,1948,526,21,138,729,882,195,76,75,0,13749,97,305,"https://fbref.com/en/squads/5725cc7b/2020-2021/Marseille-Stats"
"117",2021,"Metz","Ligue 1","team",27,38,16956,15135,1771,495,26,163,659,712,161,54,64,4,13167,50,292,"https://fbref.com/en/squads/f83960ae/2020-2021/Metz-Stats"
"118",2021,"Metz","Ligue 1","opponent",27,38,20494,18463,1987,530,29,133,742,895,205,109,69,1,16391,44,323,"https://fbref.com/en/squads/f83960ae/2020-2021/Metz-Stats"
"119",2021,"Milan","Serie A","team",29,38,19459,17686,1681,491,20,140,688,646,213,98,78,0,15889,92,309,"https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats"
