"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"195",2021,"Valencia","La Liga","Jaume Doménech","ESP","GK","29",1990,28,28,2520,28,42,1.5,130,88,70.8,5,12,11,4,14.3,6,4,2,0,33.3,"https://fbref.com/en/players/c9cb972b/Jaume-Domenech"
"196",2021,"Valladolid","La Liga","Jordi Masip","ESP","GK","31",1989,25,25,2250,25,40,1.6,115,75,68.7,4,9,12,2,8,4,4,0,0,0,"https://fbref.com/en/players/8fae77ea/Jordi-Masip"
"197",2021,"Valladolid","La Liga","Roberto","ESP","GK","34",1986,13,13,1170,13,17,1.31,46,29,67.4,1,7,5,1,7.7,3,2,0,1,0,"https://fbref.com/en/players/ba3ca78f/Roberto"
"198",2021,"Villarreal","La Liga","Sergio Asenjo","ESP","GK","31",1989,36,36,3240,36,40,1.11,118,79,72,15,13,8,10,27.8,9,7,1,1,12.5,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
"199",2021,"Villarreal","La Liga","Gerónimo Rulli","ARG","GK","28",1992,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/625c144a/Geronimo-Rulli"
"200",2021,"Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","28",1992,34,34,3060,34,57,1.68,157,101,66.2,7,10,17,6,17.6,6,4,2,0,33.3,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
"201",2021,"West Brom","Premier League","David Button","ENG","GK","31",1989,1,1,90,1,2,2,6,4,66.7,1,0,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/e608ed4c/David-Button"
"202",2021,"West Brom","Premier League","Sam Johnstone","ENG","GK","27",1993,37,37,3330,37,74,2,234,162,71.4,4,11,22,6,16.2,11,7,1,3,12.5,"https://fbref.com/en/players/9e5708be/Sam-Johnstone"
"203",2021,"West Ham","Premier League","Łukasz Fabiański","POL","GK","35",1985,35,35,3150,35,44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,1,25,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
"204",2021,"West Ham","Premier League","Darren Randolph","IRL","GK","33",1987,3,3,270,3,3,1,9,6,66.7,2,0,1,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/6385ebfb/Darren-Randolph"
"205",2021,"Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","28",1992,32,32,2880,32,33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,0,40,"https://fbref.com/en/players/db401046/Koen-Casteels"
"206",2021,"Wolfsburg","Bundesliga","Pavao Pervan","AUT","GK","32",1987,2,2,180,2,4,2,14,10,71.4,0,1,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c89e8aae/Pavao-Pervan"
"207",2021,"Wolves","Premier League","Rui Patrício","POR","GK","32",1988,37,37,3329,37,51,1.38,148,99,70.3,12,9,16,10,27,8,7,1,0,12.5,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
"208",2021,"Wolves","Premier League","John Ruddy","ENG","GK","33",1986,2,1,91,1,1,0.99,4,3,75,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/da8b19e2/John-Ruddy"
"209",2022,"Alavés","La Liga","Jesús Owono","EQG","GK","20",2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
"210",2022,"Alavés","La Liga","Fernando Pacheco","ESP","GK","29",1992,34,34,3053,33.9,60,1.77,148,85,62.8,8,5,21,5,14.7,8,5,3,0,37.5,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
"211",2022,"Alavés","La Liga","Antonio Sivera","ESP","GK","24",1996,4,3,277,3.1,4,1.3,16,12,81.3,0,1,2,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
"212",2022,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","24",1997,13,13,1170,13,19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,0,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
"213",2022,"Angers","Ligue 1","Anthony Mandrea","ALG","GK","24",1996,10,10,900,10,14,1.4,44,31,68.2,3,3,4,2,20,0,0,0,0,NA,"https://fbref.com/en/players/f7d3a773/Anthony-Mandrea"
"214",2022,"Angers","Ligue 1","Danijel Petković","MNE","GK","28",1993,15,15,1350,15,22,1.47,65,45,69.2,3,3,9,2,13.3,2,2,0,0,0,"https://fbref.com/en/players/b98cea65/Danijel-Petkovic"
"215",2022,"Arminia","Bundesliga","Stefanos Kapino","GRE","GK","27",1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/62ba5881/Stefanos-Kapino"
"216",2022,"Arminia","Bundesliga","Stefan Ortega","GER","GK","28",1992,33,33,2970,33,53,1.61,176,125,73.9,4,13,16,6,18.2,7,7,0,0,0,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega"
"217",2022,"Arsenal","Premier League","Bernd Leno","GER","GK","29",1992,4,4,360,4,9,2.25,19,10,52.6,1,0,3,1,25,0,0,0,0,NA,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"218",2022,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","23",1998,34,34,3060,34,39,1.15,128,90,73.4,21,3,10,12,35.3,6,5,0,1,0,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
"219",2022,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","28",1992,36,36,3240,36,48,1.33,140,93,68.6,13,6,17,11,30.6,6,4,1,1,20,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
"220",2022,"Aston Villa","Premier League","Robin Olsen","SWE","GK","31",1990,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
"221",2022,"Aston Villa","Premier League","Jed Steer","ENG","GK","28",1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a8a3d139/Jed-Steer"
"222",2022,"Atalanta","Serie A","Juan Musso","ARG","GK","27",1994,33,33,2932,32.6,42,1.29,119,80,67.2,16,8,9,8,24.2,4,3,0,1,0,"https://fbref.com/en/players/a111cf41/Juan-Musso"
"223",2022,"Atalanta","Serie A","Francesco Rossi","ITA","GK","30",1991,1,0,37,0.4,1,2.43,2,1,50,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
"224",2022,"Atalanta","Serie A","Marco Sportiello","ITA","GK","29",1992,5,5,450,5,5,1,18,13,83.3,0,3,2,2,40,2,2,0,0,0,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
