"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"40",2021,"Angers","Ligue 1","Jimmy Cabot","FRA","FW,MF","26",1994,10.5,575,4,85,252,249,26,575,56,24,42.9,32,57.1,374,2122,1018,33,25,5,34,12,397,84,"https://fbref.com/en/players/46359159/Jimmy-Cabot"
"41",2021,"Angers","Ligue 1","Pierrick Capelle","FRA","MF,DF","33",1987,22.8,1438,54,304,799,352,28,1438,39,22,56.4,17,43.6,809,4234,1744,38,34,3,38,32,915,90,"https://fbref.com/en/players/79b2399c/Pierrick-Capelle"
"42",2021,"Angers","Ligue 1","Lassana Coulibaly","MLI","MF","24",1996,18.7,916,35,202,565,168,12,916,34,15,44.1,19,55.9,486,2852,1127,20,19,2,27,17,497,21,"https://fbref.com/en/players/85a44ecc/Lassana-Coulibaly"
"43",2021,"Angers","Ligue 1","Lois Diony","FRA","FW","27",1992,19.4,592,19,35,235,327,62,591,48,13,27.1,35,72.9,337,2092,724,45,18,19,51,31,452,159,"https://fbref.com/en/players/4be0b467/Lois-Diony"
"44",2021,"Angers","Ligue 1","Souleyman Doumbia","CIV","DF","23",1996,24.7,1522,62,450,748,349,13,1522,42,25,59.5,17,40.5,839,5079,2676,65,51,6,46,23,872,121,"https://fbref.com/en/players/9daeac61/Souleyman-Doumbia"
"45",2021,"Angers","Ligue 1","Enzo Ebosse","CMR","DF","21",1999,2.9,177,13,83,84,12,2,177,0,0,NA,0,NA,83,259,115,1,1,0,4,0,119,7,"https://fbref.com/en/players/9ba7b4fa/Enzo-Ebosse"
"46",2021,"Angers","Ligue 1","Noah Fatar","FRA","FW,MF","18",2002,0.2,14,0,2,5,7,0,14,2,0,0,2,100,10,53,21,0,1,0,1,1,9,2,"https://fbref.com/en/players/2693f6bc/Noah-Fatar"
"47",2021,"Angers","Ligue 1","Yassin Fortune","FRA","FW","21",1999,0.2,5,1,1,2,2,1,5,0,0,NA,0,NA,3,5,4,0,1,0,0,0,3,1,"https://fbref.com/en/players/ddcc9e22/Yassin-Fortune"
"48",2021,"Angers","Ligue 1","Angelo Fulgini","FRA","MF","23",1996,30.3,2014,12,193,1143,708,86,2013,155,81,52.3,74,47.7,1400,7854,3982,101,81,21,98,69,1624,192,"https://fbref.com/en/players/4b96c347/Angelo-Fulgini"
"49",2021,"Angers","Ligue 1","Wilfried Kanga","CIV","FW","22",1998,1.5,33,2,2,14,17,4,33,2,0,0,2,100,20,104,43,2,0,2,2,3,21,8,"https://fbref.com/en/players/b4c816a9/Wilfried-Kanga"
"50",2021,"Angers","Ligue 1","Vincent Manceau","FRA","DF","31",1989,25.7,1820,74,565,882,385,7,1820,20,10,50,10,50,985,4045,2107,37,34,2,15,2,1099,103,"https://fbref.com/en/players/c26a3918/Vincent-Manceau"
"51",2021,"Angers","Ligue 1","Thomas Mangani","FRA","MF","33",1987,29.9,2349,65,481,1499,392,20,2346,16,10,62.5,6,37.5,1316,5574,2296,22,19,1,18,13,1588,36,"https://fbref.com/en/players/c801616a/Thomas-Mangani"
"52",2021,"Angers","Ligue 1","Farid El Melali","ALG","FW,MF","23",1997,4.6,233,2,38,107,93,18,233,39,22,56.4,17,43.6,174,1348,590,16,12,5,16,15,171,49,"https://fbref.com/en/players/d21e361a/Farid-El-Melali"
"53",2021,"Angers","Ligue 1","Casimir Ninga","CHA","FW","27",1993,0.3,14,2,3,6,5,0,14,1,1,100,0,0,7,41,26,0,0,0,2,0,9,3,"https://fbref.com/en/players/91f2da4c/Casimir-Ninga"
